school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,GR
1,2,15,1,2,1,1,2,4,5,3,1,1,2,0,2,1,2,2,2,1,1,2,4,3,2,1,1,5,6,13
1,2,15,1,2,1,1,2,4,3,3,2,1,2,0,2,2,2,2,2,1,2,1,2,3,4,2,4,1,6,11
1,1,16,1,2,1,4,4,1,1,3,1,1,1,0,2,1,2,2,1,2,1,1,3,3,2,2,1,5,16,9
1,1,15,1,1,2,2,1,3,5,3,1,4,1,0,2,2,2,2,1,1,1,2,4,5,5,2,5,5,0,11
1,1,18,1,1,1,1,1,5,5,3,1,1,1,2,2,2,2,2,1,2,1,1,2,3,5,2,5,4,0,7
1,1,16,1,1,1,2,1,4,5,3,1,1,1,1,2,2,2,1,1,1,2,1,4,4,4,3,5,5,6,10
1,2,15,2,2,1,3,3,3,3,2,3,2,3,0,2,1,1,1,1,1,1,1,4,2,1,2,3,3,2,13
1,1,19,1,2,1,3,2,3,4,1,1,1,1,0,2,1,2,2,1,2,1,1,4,5,4,1,1,4,6,10
1,2,17,1,2,1,4,4,5,1,3,1,1,1,0,1,1,2,2,1,1,2,1,4,2,1,1,1,4,0,13
1,1,15,2,2,1,2,3,4,3,3,1,1,2,0,1,2,1,1,1,1,2,2,4,4,4,1,1,1,0,8
1,1,17,2,1,1,1,2,5,5,2,1,1,1,3,2,2,2,2,1,1,2,2,2,2,2,3,3,5,14,9
1,2,18,2,2,1,1,1,4,5,3,1,3,1,3,2,1,2,1,2,1,2,2,5,2,5,1,5,4,6,11
1,1,16,2,2,1,2,2,4,5,3,1,3,1,0,2,2,2,2,2,1,2,2,4,2,2,1,2,3,4,11
1,1,16,1,2,1,3,3,5,3,3,2,1,2,1,2,1,2,2,1,1,1,1,4,5,5,4,4,5,0,7
1,1,16,1,1,1,1,2,2,3,3,1,2,1,2,2,2,2,2,2,1,1,2,4,4,5,3,5,5,0,9
1,1,17,2,1,1,2,1,4,5,3,1,2,1,1,2,2,1,1,1,2,1,1,3,3,2,2,2,5,8,8
1,1,17,2,2,1,3,2,5,5,3,1,2,2,2,1,1,2,2,1,1,1,1,4,4,4,1,4,3,4,7
1,1,15,1,1,1,1,2,5,5,3,1,2,1,0,2,2,2,1,1,1,2,2,4,4,4,2,4,5,2,9
1,1,16,1,2,1,1,3,4,3,3,2,1,1,1,2,2,2,2,1,2,1,2,5,3,3,1,4,2,2,8
1,1,17,2,1,1,1,1,5,3,3,1,4,2,0,2,2,2,1,1,2,2,1,5,3,5,1,5,5,0,8
1,1,17,1,2,1,3,2,3,3,3,1,2,1,3,2,1,2,1,2,2,2,2,4,5,2,1,1,2,10,8
1,1,16,1,2,1,2,2,5,5,3,2,1,2,0,2,2,2,2,1,2,1,2,4,3,5,2,4,4,0,10
1,2,16,1,2,1,4,2,2,3,1,2,1,2,0,2,2,2,2,1,1,1,1,4,2,3,1,1,3,0,17
1,2,16,1,2,1,2,2,5,5,1,1,1,2,0,2,1,2,2,2,1,1,2,5,1,5,1,1,4,0,12
1,2,16,1,2,1,4,4,2,2,2,1,1,2,0,2,1,2,2,1,1,1,1,4,4,2,1,1,3,0,16
1,1,16,1,2,1,3,4,5,5,3,2,3,1,1,2,1,2,1,2,1,1,2,3,4,5,2,4,2,4,9
1,1,16,1,2,1,1,0,5,5,2,1,2,2,0,2,1,2,1,1,1,1,1,4,3,2,1,1,3,0,17
1,1,17,1,1,1,4,4,1,5,2,1,1,2,0,2,1,2,1,1,1,1,2,4,4,4,1,3,5,0,10
1,2,16,1,2,1,1,3,4,3,1,1,1,2,0,2,2,2,1,2,1,1,1,4,3,5,1,1,3,0,13
1,2,16,1,1,1,3,3,5,5,2,1,2,2,0,2,1,2,1,1,1,1,2,4,4,5,1,1,4,0,14
1,1,17,1,1,1,4,3,1,5,3,1,2,2,0,2,2,2,1,1,1,1,2,4,4,4,4,4,4,0,11
1,2,16,1,2,1,2,2,3,5,2,1,2,2,0,2,2,2,1,2,1,1,2,3,4,4,1,4,5,0,13
1,1,17,1,2,1,3,3,5,5,2,2,1,2,0,2,2,2,1,2,1,1,2,4,3,4,1,4,4,4,10
1,1,16,2,2,1,4,2,1,3,4,1,1,1,0,2,1,2,1,1,1,1,1,4,3,3,3,4,3,8,10
1,1,17,1,2,1,4,3,5,5,3,1,1,2,0,2,1,1,1,1,1,1,1,5,2,3,1,1,2,4,12
1,1,16,1,2,1,4,3,1,5,1,1,1,2,0,2,1,1,1,1,1,1,2,3,4,3,2,3,3,4,11
1,1,16,1,2,1,3,3,3,5,1,1,1,2,0,2,2,2,1,1,1,1,1,4,2,3,1,2,3,0,12
1,2,17,1,2,1,2,4,3,3,2,2,1,2,0,2,1,2,1,1,1,2,2,5,4,2,2,3,5,0,17
1,2,17,1,1,1,3,3,5,5,2,1,1,2,0,2,1,2,1,1,1,1,1,5,3,3,2,3,1,32,14
1,2,16,1,2,1,3,2,5,5,2,1,1,2,0,2,1,2,2,1,1,1,2,1,2,2,1,2,1,8,15
1,1,17,1,2,1,3,3,3,3,4,1,1,2,0,2,1,2,1,1,1,1,1,4,3,4,2,3,4,6,13
1,1,16,1,2,1,1,2,3,3,4,1,1,1,0,2,1,2,1,1,1,1,1,3,3,3,1,2,3,0,10
1,1,16,1,1,1,2,1,5,5,3,1,1,2,0,2,2,2,1,1,1,1,1,4,2,3,1,2,5,0,14
1,2,17,1,2,2,3,3,2,5,2,1,1,2,0,2,1,2,2,2,1,1,1,3,3,3,1,3,3,10,13
1,1,17,2,2,1,1,2,4,5,1,1,1,2,0,2,2,2,2,1,1,2,2,3,1,3,1,5,3,6,9
1,2,16,1,2,1,2,3,3,3,3,1,1,2,0,2,2,2,2,1,1,1,2,4,3,3,1,1,2,6,12
1,2,17,1,2,1,1,1,4,3,3,1,1,2,0,2,2,2,1,1,1,1,2,5,3,3,1,1,3,0,12
1,1,17,1,2,1,1,2,4,3,4,3,2,2,0,2,2,2,1,2,1,1,2,4,4,4,4,5,5,16,11
1,1,16,2,2,1,3,3,3,3,2,1,1,1,0,2,1,2,1,1,1,1,2,4,3,2,3,4,5,0,10
1,1,16,1,2,1,2,3,5,5,1,2,2,1,0,2,2,2,2,1,1,1,2,5,3,3,1,1,3,0,12
1,2,17,1,1,1,2,4,3,3,3,2,1,2,0,2,2,2,1,1,1,1,1,4,3,2,1,1,5,8,15
1,1,17,1,2,1,4,4,3,1,1,1,1,1,0,2,2,2,2,1,1,1,2,5,2,3,1,2,5,4,13
1,1,16,2,1,1,3,3,1,5,1,2,3,1,0,2,1,2,1,1,1,1,2,3,3,4,3,5,3,16,11
1,2,17,1,2,1,4,4,3,1,1,1,2,1,1,2,1,2,2,1,1,1,2,4,2,4,2,3,2,30,15
1,2,16,1,1,1,4,4,1,1,2,1,1,2,0,2,1,2,2,1,1,1,2,4,5,2,1,2,3,0,11
1,2,16,1,2,1,4,3,2,5,1,1,1,2,0,2,1,2,1,1,1,1,2,4,3,5,1,5,2,2,14
1,2,16,1,2,1,2,3,5,5,2,1,1,2,0,1,1,2,1,1,1,2,2,4,4,3,1,3,4,4,12
1,2,17,1,2,1,1,1,5,5,3,1,1,2,0,2,1,2,2,2,1,2,2,4,4,4,1,3,1,0,15
1,2,17,2,2,1,2,2,5,5,2,1,1,1,0,2,1,2,2,1,1,1,2,5,3,2,1,2,3,21,13
1,2,16,2,2,1,2,2,3,3,2,1,2,4,0,2,1,2,1,2,1,1,2,5,3,5,1,1,5,6,13
1,2,17,1,2,1,3,4,4,3,1,1,1,3,1,2,1,1,2,1,1,1,1,4,4,3,3,4,5,14,8
1,2,16,1,2,2,3,1,3,5,3,1,1,2,0,2,1,2,2,1,1,1,2,2,3,3,2,2,4,2,11
1,2,16,1,2,1,4,3,1,5,4,1,1,2,0,2,2,2,1,1,1,1,1,1,3,2,1,1,1,4,15
1,2,16,1,2,1,1,1,4,5,1,1,2,1,0,2,1,2,2,1,1,2,2,4,3,2,1,4,5,2,13
1,2,17,2,2,1,4,3,1,5,2,1,2,3,0,2,1,2,1,1,1,1,1,4,4,2,1,1,4,0,12
1,2,19,1,2,1,3,3,5,5,2,3,1,4,0,2,1,2,1,1,1,1,2,4,3,3,1,2,3,4,12
1,1,17,1,1,1,4,4,3,5,1,1,1,2,0,2,1,2,2,1,1,1,1,5,3,5,4,5,3,15,12
1,2,16,1,2,2,2,2,5,5,2,1,1,2,0,1,1,2,2,1,1,1,2,3,3,4,1,1,4,0,13
1,1,18,1,2,1,2,2,3,5,1,1,1,2,0,2,1,2,1,1,1,1,2,4,4,4,2,4,5,10,11
1,2,17,2,1,1,4,4,3,5,4,1,1,1,0,2,1,2,2,1,1,2,2,5,2,1,1,2,3,6,11
1,2,17,1,1,1,3,2,5,5,2,1,2,2,0,2,2,2,2,1,1,1,2,4,4,4,1,3,1,2,15
1,2,17,1,2,1,4,3,5,5,2,1,1,2,0,2,2,2,2,1,1,1,1,3,4,5,2,4,1,16,10
1,1,18,1,1,1,3,3,3,2,1,2,1,2,0,2,1,2,2,1,1,1,2,3,2,4,2,4,4,10,10
1,2,17,1,2,1,2,3,4,5,1,2,2,1,0,2,1,2,2,1,1,2,2,3,3,3,1,4,3,4,13
1,2,17,1,2,1,2,2,4,4,3,1,1,3,0,2,1,2,1,1,1,1,2,4,3,3,1,1,4,0,12
1,2,17,2,2,1,2,1,4,3,2,1,2,2,0,2,1,2,1,1,1,1,2,4,2,5,1,2,5,0,11
1,2,17,1,2,1,1,1,4,5,2,1,1,3,0,2,1,2,1,1,1,2,1,4,3,4,1,1,5,12,12
1,2,16,1,2,1,2,3,3,1,4,1,1,2,0,1,2,2,2,1,1,1,2,2,3,1,1,1,3,0,13
1,1,18,1,2,1,2,2,5,5,1,1,2,2,3,2,1,1,2,1,1,1,2,3,3,3,5,5,4,9,10
1,2,16,1,2,1,4,4,1,3,1,1,1,3,0,2,1,2,1,2,1,1,2,5,3,2,1,1,5,4,16
1,2,18,2,2,1,3,1,5,5,2,1,1,2,0,2,2,2,1,1,1,1,1,5,3,3,1,1,4,4,8
1,2,17,1,2,1,3,2,5,5,3,1,1,2,0,2,2,2,1,2,1,1,2,5,3,4,1,3,3,2,17
1,1,17,1,1,1,2,3,3,3,2,2,1,2,0,2,1,2,2,2,1,1,2,5,3,3,1,3,3,0,11
1,1,18,1,1,1,2,1,4,5,3,1,4,2,0,1,1,2,1,1,1,1,1,4,3,2,4,5,3,2,10
1,2,17,1,2,2,2,1,5,5,3,1,2,3,0,2,2,2,1,1,1,1,1,3,2,3,1,2,3,0,15
1,2,17,1,1,1,4,3,2,5,2,2,1,2,0,2,2,2,1,1,1,1,1,3,2,3,1,2,3,0,13
1,1,17,2,2,1,2,2,5,5,3,2,2,2,0,2,1,2,1,1,1,1,2,4,5,2,1,1,1,0,13
1,1,17,1,2,1,4,4,1,1,2,1,1,2,0,1,1,2,1,1,1,1,1,4,5,5,1,3,2,0,13
1,1,16,1,2,1,4,4,2,5,2,2,1,2,0,2,1,2,1,1,1,1,2,4,2,4,2,4,1,0,13
1,1,16,1,1,1,1,1,5,5,1,1,2,2,0,2,1,2,2,1,1,1,2,3,4,2,1,1,5,2,9
1,1,16,1,2,1,3,2,4,5,2,1,2,3,0,2,2,2,1,1,1,1,1,5,3,3,1,3,2,0,12
1,1,17,1,1,1,2,2,5,5,1,2,1,2,0,2,2,2,1,2,1,1,1,4,4,2,5,5,4,0,16
1,2,16,1,2,1,2,1,5,5,1,1,1,1,0,2,2,2,2,1,1,1,1,4,5,2,1,1,5,4,10
1,2,16,1,2,2,4,1,5,5,1,1,1,2,0,2,2,2,1,1,1,1,1,5,3,3,1,2,5,0,13
1,2,18,1,1,2,2,4,3,5,3,1,2,2,1,2,1,2,2,1,1,1,2,4,3,3,1,1,3,18,10
1,2,18,1,1,1,2,2,4,3,3,1,1,2,1,2,1,2,2,2,1,1,1,5,3,1,1,1,5,16,9
1,2,18,1,2,1,3,3,5,5,3,1,2,1,1,2,2,2,2,1,2,1,2,4,1,1,1,1,3,14,7
1,1,18,1,2,1,2,2,5,4,3,3,1,1,1,2,1,2,1,2,2,1,1,4,4,3,2,2,1,26,8
1,1,17,1,2,1,4,4,1,1,3,1,1,1,0,2,1,2,1,2,1,1,2,4,2,1,1,2,5,6,9
1,2,17,1,2,1,3,2,5,5,3,2,1,2,0,2,2,2,1,1,1,2,2,5,4,2,1,1,3,4,14
1,2,17,1,1,1,1,1,4,4,3,1,1,3,0,2,1,2,1,1,1,1,1,4,3,2,1,2,4,10,10
1,2,16,1,2,1,1,2,5,5,3,1,1,1,0,2,2,2,2,1,2,1,2,5,3,5,1,2,5,4,11
1,2,17,2,2,1,2,1,4,3,3,1,3,2,0,2,2,2,1,1,1,2,2,2,1,1,1,1,3,2,13
1,2,17,2,1,2,1,4,5,5,3,3,4,1,1,2,1,2,2,1,1,1,2,5,5,4,1,1,5,14,9
1,1,18,1,2,1,2,2,5,3,2,2,1,2,0,2,2,2,2,1,2,1,2,5,5,4,3,5,2,16,8
1,2,17,1,1,2,2,2,5,5,1,1,1,1,1,2,1,2,2,2,2,1,2,3,1,2,1,1,1,8,10
1,2,17,2,1,1,1,1,4,5,3,1,2,3,0,2,2,2,1,1,1,1,2,4,3,3,1,3,5,4,15
1,2,17,1,1,2,4,2,1,5,3,1,1,2,0,2,1,2,1,1,1,2,2,4,3,2,1,1,4,4,14
1,1,17,1,1,1,4,3,2,5,3,1,2,2,0,2,2,2,1,1,1,1,1,2,5,5,1,4,5,8,15
1,1,17,2,1,2,4,4,1,5,3,1,2,2,0,2,1,2,2,1,1,1,2,3,3,3,2,3,4,0,12
1,1,16,1,1,1,4,3,1,5,3,1,1,1,0,2,2,2,1,2,1,1,2,5,4,5,1,1,3,7,14
1,1,16,1,2,1,4,4,3,3,3,1,1,1,0,2,2,1,1,1,1,1,2,5,3,2,1,2,5,4,15
1,2,17,1,2,1,4,4,1,3,3,1,1,2,0,2,1,1,2,1,1,1,1,5,3,1,1,4,5,2,11
1,1,17,2,2,1,1,1,5,5,1,2,2,3,0,2,2,2,2,2,1,1,1,4,3,3,1,1,1,2,14
1,2,17,1,2,1,3,3,3,5,1,1,2,3,0,2,1,2,2,1,1,1,1,4,2,2,2,3,5,10,11
1,2,17,1,2,1,1,1,4,5,3,1,1,2,0,1,2,2,2,2,1,2,1,4,3,2,1,1,4,10,10
1,2,18,1,2,1,2,1,5,5,3,3,2,3,0,2,1,2,2,2,1,1,1,4,4,4,1,1,3,10,11
1,1,16,1,2,1,2,1,5,5,3,1,3,1,0,2,2,2,2,1,1,1,2,4,3,3,1,1,4,7,16
1,2,17,1,2,1,1,1,5,3,3,2,1,2,0,2,1,2,2,1,1,2,2,4,3,4,1,2,5,4,11
1,1,17,1,2,1,2,3,5,5,3,2,2,1,0,2,2,2,2,1,1,1,2,5,2,2,1,1,2,2,11
1,1,22,1,2,1,3,1,3,3,4,1,1,1,3,2,2,2,2,2,2,1,1,5,4,5,5,5,1,12,7
1,1,18,2,1,1,3,3,5,3,3,1,1,2,0,2,1,2,2,1,1,1,1,4,3,3,1,3,5,8,10
1,1,16,1,2,1,0,2,5,5,4,1,1,1,0,2,2,2,2,2,1,1,2,4,3,2,2,4,5,0,11
1,1,18,1,2,1,3,2,3,5,3,1,2,1,0,2,2,2,2,1,2,1,2,4,4,5,2,4,5,8,7
1,1,16,1,2,1,3,3,4,5,2,3,3,2,1,1,1,2,2,2,1,1,2,5,3,3,1,3,2,4,10
1,1,18,1,2,1,2,1,3,3,4,1,1,1,2,2,2,2,2,2,2,1,2,3,2,5,2,5,5,4,7
1,1,16,2,2,1,2,1,5,5,3,1,2,1,0,2,2,2,1,2,1,2,2,3,3,2,1,3,3,2,13
1,1,17,2,2,1,2,1,5,5,3,1,1,1,0,2,2,2,2,2,1,1,2,4,4,2,2,4,5,0,12
1,1,17,1,1,1,1,1,2,5,3,1,2,1,1,2,1,2,1,1,1,1,2,4,4,4,1,2,5,0,10
1,2,18,1,1,2,2,1,5,5,3,1,1,2,0,2,1,2,2,2,1,1,1,4,3,4,1,3,5,2,12
1,2,17,1,1,1,4,2,1,3,2,1,1,4,0,2,1,2,1,1,1,1,2,4,2,3,1,1,4,2,15
1,2,19,1,2,1,2,2,3,3,1,1,1,2,0,2,1,2,2,1,1,1,2,4,3,3,1,1,5,0,10
1,1,18,1,1,1,2,1,3,5,3,1,3,2,1,2,2,2,1,2,2,1,2,4,4,5,4,4,5,4,11
1,2,17,2,2,1,4,2,5,5,3,1,1,3,0,2,1,2,1,1,1,1,2,4,3,4,1,3,5,2,12
1,2,18,1,1,1,1,1,5,4,1,1,1,3,0,2,1,2,2,2,1,2,2,4,4,3,2,3,3,4,12
1,2,18,2,2,1,2,2,5,5,1,1,1,2,0,1,2,2,2,1,1,2,2,3,2,3,1,1,5,4,12
1,1,19,1,1,2,4,3,3,4,2,1,1,2,0,2,1,2,2,1,1,1,2,4,3,1,1,1,1,4,13
1,1,18,1,2,1,2,1,5,5,1,1,1,2,0,2,2,2,1,1,1,1,2,5,2,4,1,2,4,2,16
1,1,17,2,2,1,2,2,5,3,4,1,2,1,0,2,2,2,2,2,2,2,2,5,2,2,1,1,4,0,10
1,2,17,1,1,1,2,2,3,3,3,2,1,4,0,2,2,2,1,1,1,1,1,3,4,1,1,1,2,2,11
1,2,20,2,2,1,2,1,5,5,3,3,2,2,0,2,1,1,1,1,2,1,1,1,2,3,1,2,2,8,11
1,2,18,1,2,1,4,3,3,5,1,2,1,2,0,2,1,2,2,1,1,1,1,3,1,2,1,3,2,2,15
1,1,18,1,2,1,4,3,1,5,3,1,1,2,0,2,1,2,2,2,1,1,2,4,3,2,1,1,3,2,10
1,1,18,2,2,1,3,2,5,5,3,1,1,3,0,2,2,2,1,2,1,2,2,5,3,2,1,1,3,2,11
1,2,17,1,2,1,3,3,5,5,1,1,1,3,0,2,2,2,1,2,1,2,2,3,2,3,1,1,4,2,13
1,2,18,1,2,1,2,2,4,3,1,1,1,3,0,2,1,2,1,1,1,1,1,4,3,3,1,1,3,0,12
1,1,17,1,2,1,2,2,5,5,1,2,2,1,0,2,2,2,2,1,2,1,2,4,4,4,2,3,4,8,8
1,1,18,2,1,2,3,4,5,5,2,1,2,2,0,2,1,2,1,1,1,1,2,4,2,5,3,4,1,6,16
1,1,17,1,2,1,3,1,3,5,4,1,1,2,0,2,2,2,1,1,1,1,1,5,4,4,3,4,5,0,12
1,2,18,2,2,1,4,4,1,5,2,1,2,2,0,2,2,2,1,1,1,1,2,4,3,4,2,2,4,8,11
1,1,18,1,2,1,4,2,2,5,2,2,1,2,0,2,1,2,1,1,1,1,1,5,4,5,1,3,5,4,12
1,2,18,2,2,1,2,1,5,5,2,1,2,2,0,2,1,2,2,1,2,1,1,4,3,5,1,2,3,12,9
1,2,19,1,2,1,3,3,5,3,1,3,1,2,0,2,1,2,1,1,1,1,2,4,3,5,3,3,5,16,12
1,2,18,1,2,1,2,3,5,3,2,2,1,4,0,2,1,2,1,1,1,1,1,4,5,5,1,3,2,10,16
1,2,18,1,1,1,1,1,5,5,1,1,2,2,0,2,1,2,2,2,1,2,2,4,4,3,1,1,3,2,13
1,1,17,2,2,1,1,2,4,4,1,1,1,2,0,2,1,2,1,2,1,2,1,3,5,2,2,2,1,2,17
1,2,18,1,2,1,2,1,5,5,1,1,1,2,0,2,1,2,2,1,1,1,1,4,2,5,1,2,1,8,14
1,2,17,1,2,1,2,4,4,2,2,1,2,2,0,2,1,2,2,1,1,1,1,4,3,3,1,1,1,6,16
1,2,17,1,1,1,2,2,3,5,3,1,2,2,0,1,1,2,2,1,1,1,1,4,4,4,2,3,5,6,12
1,2,18,2,2,2,3,2,5,3,1,1,2,2,0,2,2,2,2,2,2,1,1,4,1,1,1,1,5,15,10
1,1,18,1,2,1,4,4,1,3,1,1,2,1,0,2,2,2,1,1,1,1,2,3,2,4,1,4,3,6,12
1,2,18,1,2,1,4,4,2,2,2,2,1,2,1,1,1,2,1,1,1,1,1,2,4,4,1,1,4,2,13
